,Wellbore name,NPDCode,Year,Month,On Stream,Oil,Gas,Water,GI,WI
177,15/9-F-14,5351,2008,Nov,717.83333,104409.61,14906020.01,189.89,0.0,0.0
178,15/9-F-14,5351,2008,Dec,744.0,110199.28,15956253.45,66.54,0.0,0.0
179,15/9-F-14,5351,2009,Jan,705.16665,115572.66,16718455.33,977.79,0.0,0.0
180,15/9-F-14,5351,2009,Feb,638.41668,113880.98,16254377.44,2529.24,0.0,0.0
181,15/9-F-14,5351,2009,Mar,530.80333,90644.44,12702463.22,1678.17,0.0,0.0
182,15/9-F-14,5351,2009,Apr,537.63334,86944.06,11926656.18,246.47,0.0,0.0
183,15/9-F-14,5351,2009,May,694.66667,116175.04,15944548.83,3440.05,0.0,0.0
184,15/9-F-14,5351,2009,Jun,691.89998,86654.03,12141881.11,5731.18,0.0,0.0
185,15/9-F-14,5351,2009,Jul,742.16666,64871.82,9127860.49,6772.73,0.0,0.0
186,15/9-F-14,5351,2009,Aug,656.82498,112493.5,15664621.81,20793.78,0.0,0.0
187,15/9-F-14,5351,2009,Sep,509.07501,90349.8,12564633.24,15274.84,0.0,0.0
188,15/9-F-14,5351,2009,Oct,655.42499,96707.32,13556584.82,26099.06,0.0,0.0
189,15/9-F-14,5351,2009,Nov,709.25001,98043.5,13821883.66,39016.45,0.0,0.0
190,15/9-F-14,5351,2009,Dec,726.66667,89514.35,12552907.78,56173.42,0.0,0.0
191,15/9-F-14,5351,2010,Jan,742.16666,82221.25,11561301.92,70004.16,0.0,0.0
192,15/9-F-14,5351,2010,Feb,610.175,62092.98,8751248.29,62000.25,0.0,0.0
193,15/9-F-14,5351,2010,Mar,654.10832,66989.25,9421805.36,64560.85,0.0,0.0
194,15/9-F-14,5351,2010,Apr,679.80833,73035.81,10288470.42,69865.31,0.0,0.0
195,15/9-F-14,5351,2010,May,740.16667,87809.28,12490295.91,85315.44,0.0,0.0
196,15/9-F-14,5351,2010,Jun,717.75,75309.82,10756576.8,96580.92,0.0,0.0
197,15/9-F-14,5351,2010,Jul,742.41667,69600.25,10073534.35,101216.35,0.0,0.0
198,15/9-F-14,5351,2010,Aug,425.1,38413.73,5543252.28,56452.9,0.0,0.0
199,15/9-F-14,5351,2010,Sep,566.14999,55405.21,8260552.19,66506.82,0.0,0.0
200,15/9-F-14,5351,2010,Oct,743.16666,78755.31,11853846.58,100949.14,0.0,0.0
201,15/9-F-14,5351,2010,Nov,683.41667,62555.48,9485348.68,96969.98,0.0,0.0
202,15/9-F-14,5351,2010,Dec,741.5,63886.23,9763159.53,111640.46,0.0,0.0
203,15/9-F-14,5351,2011,Jan,744.0,61328.45,9353204.41,111168.02,0.0,0.0
204,15/9-F-14,5351,2011,Feb,561.5,44066.31,6830109.59,79492.13,0.0,0.0
